frequency,raw
978.78,-0.11
988.57,-0.08
998.46,-0.01
1008.44,0.07
1018.53,0.17
1028.71,0.25
1039.00,0.34
1049.39,0.44
1059.88,0.50
1070.48,0.66
1081.19,0.84
1092.00,0.91
1102.92,1.05
1113.95,1.19
1125.09,1.26
1136.34,1.33
1147.70,1.47
1159.18,1.71
1170.77,1.79
1182.48,1.94
1194.30,2.18
1206.25,2.25
1218.31,2.40
1230.49,2.59
1242.80,2.69
1255.22,2.77
1267.78,2.87
1280.45,3.04
1293.26,3.13
1306.19,3.25
1319.25,3.49
1332.45,3.59
1345.77,3.70
1359.23,3.87
1372.82,3.94
1386.55,4.09
1400.41,4.28
1414.42,4.35
1428.56,4.40
1442.85,4.47
1457.28,4.71
1471.85,4.83
1486.57,4.92
1501.43,5.10
1516.45,5.18
1531.61,5.29
1546.93,5.46
1562.40,5.54
1578.02,5.61
1593.80,5.68
1609.74,5.95
1625.84,6.11
1642.10,6.21
1658.52,6.49
1675.10,6.62
1691.85,6.74
1708.77,7.01
1725.86,7.13
1743.12,7.26
1760.55,7.54
1778.15,7.63
1795.94,7.70
1813.90,7.77
1832.03,8.10
1850.36,8.35
1868.86,8.49
1887.55,8.77
1906.42,8.92
1925.49,9.02
1944.74,9.37
1964.19,9.52
1983.83,9.66
2003.67,10.00
2023.71,10.24
2043.94,10.41
2064.38,10.51
2085.03,10.77
2105.88,10.96
2126.94,11.03
2148.20,11.33
2169.69,11.53
2191.38,11.64
2213.30,11.89
2235.43,12.02
2257.78,12.08
2280.36,12.12
2303.17,12.25
2326.20,12.39
2349.46,12.42
2372.95,12.45
2396.68,12.46
2420.65,12.43
2444.86,12.40
2469.31,12.36
2494.00,12.33
2518.94,12.15
2544.13,12.00
2569.57,11.87
2595.27,11.80
2621.22,11.62
2647.43,11.41
2673.90,11.34
2700.64,11.14
2727.65,10.94
2754.93,10.84
2782.48,10.59
2810.30,10.37
2838.40,10.23
2866.79,10.10
2895.46,9.91
2924.41,9.67
2953.65,9.60
2983.19,9.45
3013.02,9.26
3043.15,9.16
3073.58,8.98
3104.32,8.80
3135.36,8.70
3166.72,8.57
3198.38,8.44
3230.37,8.34
3262.67,8.27
3295.30,8.20
3328.25,8.13
3361.53,8.06
3395.15,8.01
3429.10,7.97
3463.39,7.90
3498.03,7.88
3533.01,7.88
3568.34,7.88
3604.02,7.90
3640.06,7.94
3676.46,7.97
3713.22,7.98
3750.36,8.03
3787.86,8.17
3825.74,8.21
3864.00,8.33
3902.64,8.53
3941.66,8.67
3981.08,8.83
4020.89,9.01
4061.10,9.25
4101.71,9.40
4142.73,9.58
4184.15,10.02
4226.00,10.23
4268.26,10.50
4310.94,11.06
4354.05,11.46
4397.59,11.85
4441.56,12.26
4485.98,12.67
4530.84,13.02
4576.15,13.29
4621.91,13.50
4668.13,13.62
4714.81,13.68
4761.96,13.72
4809.58,13.68
4857.67,13.56
4906.25,13.32
4955.31,12.97
5004.87,12.54
5054.91,12.03
5105.46,11.45
5156.52,10.97
5208.08,10.62
5260.16,9.35
5312.77,8.53
5365.89,8.02
5419.55,7.09
5473.75,7.11
5528.49,7.49
5583.77,7.28
5639.61,6.89
5696.00,6.57
5752.96,6.53
5810.49,6.32
5868.60,6.10
5927.28,5.89
5986.56,5.42
6046.42,5.02
6106.89,4.71
6167.96,4.47
6229.64,4.27
6291.93,4.11
6354.85,4.01
6418.40,3.93
6482.58,3.87
6547.41,3.83
6612.88,3.88
6679.01,3.95
6745.80,4.02
6813.26,4.12
6881.39,4.28
6950.21,4.52
7019.71,4.80
7089.91,5.11
7160.81,5.46
7232.41,5.87
7304.74,6.37
7377.79,6.95
7451.56,7.64
7526.08,8.37
7601.34,9.15
7677.35,9.98
7754.13,10.75
7831.67,11.42
7909.98,11.94
7989.08,11.91
8068.98,11.60
8149.67,11.02
8231.16,10.57
8313.47,9.44
8396.61,7.85
8480.57,6.79
8565.38,5.81
8651.03,4.90
8737.54,4.07
8824.92,3.30
8913.17,2.59
9002.30,1.96
9092.32,1.40
9183.25,0.89
9275.08,0.45
9367.83,0.06
9461.51,-0.28
9556.12,-0.58
9651.68,-0.79
9748.20,-0.98
9845.68,-1.14
9944.14,-1.24
10043.58,-1.30
10144.02,-1.32
10245.46,-1.32
10347.91,-1.24
10451.39,-1.16
10555.91,-1.13
10661.46,-1.03
10768.08,-0.96
10875.76,-0.92
10984.52,-0.86
11094.36,-0.84
11205.31,-0.88
11317.36,-0.91
11430.53,-1.01
11544.84,-1.14
11660.29,-1.21
11776.89,-1.25
11894.66,-1.22
12013.60,-1.05
12133.74,-0.71
12255.08,-0.32
12377.63,0.10
12501.41,0.48
12626.42,0.81
12752.68,1.08
12880.21,1.29
13009.01,1.50
13139.10,1.68
13270.49,1.72
13403.20,1.73
13537.23,1.72
13672.60,1.68
13809.33,1.65
13947.42,1.62
14086.90,1.58
14227.77,1.64
14370.04,1.76
14513.74,1.97
14658.88,2.11
14805.47,2.28
14953.52,2.48
15103.06,2.55
15254.09,2.49
15406.63,2.30
15560.70,1.82
15716.30,1.14
15873.47,0.35
16032.20,-0.55
16192.52,-1.20
16354.45,-2.35
16517.99,-4.56
16683.17,-4.49
16850.01,-3.96
17018.51,-3.17
17188.69,-3.35
17360.58,-4.10
17534.18,-5.34
17709.53,-6.47
17886.62,-7.41
18065.49,-8.30
18246.14,-9.47
18428.60,-9.93
18612.89,-10.18
18799.02,-10.56
18987.01,-10.80
19176.88,-11.10
19368.65,-11.55
19562.33,-12.05
19757.96,-12.55
19955.54,-13.06
